NO,MOVIE_NM,DRCTR_NM,MAKR_NM,INCME_CMPNY_NM,DISTB_CMPNY_NM,OPN_DE,MOVIE_TY_NM,MOVIE_STLE_NM,NLTY_NM,TOT_SCRN_CO,SALES_PRICE,VIEWNG_NMPR_CO,SEOUL_SALES_PRICE,SEOUL_VIEWNG_NMPR_CO,GENRE_NM,GRAD_NM,MOVIE_SDIV_NM
57,"하이큐!! 리에프 등장! & VS""낙제점""",미츠나카 스스무,,에스엠지홀딩스 주식회사,에스엠지홀딩스 주식회사,20250731,개봉영화,장편,일본,51,14560800,2082,5703500,797,애니메이션,12세이상관람가,일반영화
7,좀비딸,필감성,스튜디오엔(주),,(주)넥스트엔터테인먼트월드(NEW),20250730,개봉영화,장편,한국,"1,557",5915790300,703001,1134526320,131016,코미디,12세이상관람가,일반영화
15,배드 가이즈 2,피에르 페리펠,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),20250730,개봉영화,장편,미국,674,752128730,85757,167023150,18056,애니메이션,전체관람가,일반영화
28,고고다이노 극장판: 게코도마뱀의 꿈,이원재,(주)모꼬지,,(주)모꼬지,20250730,개봉영화,장편,한국,179,123833400,13672,22724000,2571,애니메이션,전체관람가,일반영화
67,엣 더 벤치,오쿠야마 요시유키,,(주)도키엔터테인먼트,와이드 릴리즈(주),20250730,개봉영화,장편,일본,34,11273000,1238,7655600,841,드라마,전체관람가,독립/예술영화
78,우리 둘 사이에,성지혜,(주)영화사진,,㈜인디스토리,20250730,개봉영화,장편,한국,32,8493900,937,6586800,718,드라마,12세이상관람가,독립/예술영화
86,반 고흐. 밀밭과 구름 낀 하늘,,,일미디어,일미디어,20250730,개봉영화,장편,이탈리아,20,5679700,725,3932700,453,다큐멘터리,전체관람가,독립/예술영화
21,꼬마마법사 주니토니,서동해,,,"씨제이 씨지브이(CJ CGV)(주),와이드 릴리즈(주)",20250726,개봉영화,장편,한국,170,253116300,28011,44387400,4942,애니메이션,전체관람가,일반영화
41,극장판 다이노맨: 공룡산의 비밀,김호락,"(주)스튜디오버튼 ,(주)플레이그램",,(주)플레이그램,20250725,개봉영화,장편,한국,91,42267500,5884,12291300,1713,애니메이션,전체관람가,일반영화
45,귀멸의 칼날: 도공 마을 이어진 인연편,소토자키 하루오,,주식회사 애니맥스브로드캐스팅코리아,주식회사 애니맥스브로드캐스팅코리아,20250725,개봉영화,장편,일본,107,43512500,4082,11436400,1093,애니메이션,15세이상관람가,일반영화
49,귀멸의 칼날: 도공 마을 적습편,소토자키 하루오,,주식회사 애니맥스브로드캐스팅코리아,주식회사 애니맥스브로드캐스팅코리아,20250725,개봉영화,장편,일본,100,31479300,3058,8001800,757,애니메이션,15세이상관람가,일반영화
94,사조영웅전: 협지대자,서극,,"(주)스튜디오디에이치엘,(주)키노라이츠","(주)스튜디오디에이치엘,(주)키노라이츠",20250725,개봉영화,장편,중국,2,5365000,471,5365000,471,전쟁,15세이상관람가,일반영화
9,판타스틱 4: 새로운 출발,맷 샤크먼,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,20250724,개봉영화,장편,미국,"1,027",5089875540,473360,1627886640,141220,액션,12세이상관람가,일반영화
12,베베핀 극장판: 사라진 베베핀과 핑크퐁 대모험,변희선,더핑크퐁컴퍼니(주),,(주)넥스트엔터테인먼트월드(NEW),20250724,개봉영화,장편,한국,577,1092918930,117436,158895150,15787,애니메이션,전체관람가,독립/예술영화
5,전지적 독자 시점,김병우,리얼라이즈픽쳐스(주),,롯데컬처웍스(주)롯데엔터테인먼트,20250723,개봉영화,장편,한국,"1,581",8330369660,857517,2177495100,212908,판타지,15세이상관람가,일반영화
25,이사,소마이 신지,,찬란,(주)에이유앤씨,20250723,개봉영화,장편,일본,80,168554400,16942,111390700,10766,드라마,12세이상관람가,독립/예술영화
44,대탈출 : 더 스토리 특별판,,주식회사 티빙,,씨제이 씨지브이(CJ CGV)(주),20250723,개봉영화,장편,한국,21,43352000,4353,26544000,2659,어드벤처,15세이상관람가,일반영화
54,8과 1/2,페데리코 펠리니,,일미디어,일미디어,20250723,개봉영화,장편,이탈리아,23,23013300,2440,14446700,1462,드라마,15세이상관람가,독립/예술영화
69,뮤지컬 오지게 재밌는 가시나들,,라이브(주),,(주)한국영상연합,20250723,개봉영화,장편,한국,14,24491000,1227,17029000,853,뮤지컬,전체관람가,일반영화
72,망국전쟁 : 뉴라이트의 시작,구진형,,,주식회사 한류역사문화티브이,20250723,개봉영화,장편,한국,28,10730300,1139,7648300,787,다큐멘터리,12세이상관람가,일반영화
80,아이 킬 유,유하,올픽처스 주식회사,,(주)트리플픽쳐스,20250723,개봉영화,장편,한국,22,9126700,870,4003400,378,액션,15세이상관람가,일반영화
91,오키나와 블루노트,조성규,(주)와우,,(주)와우,20250723,개봉영화,장편,한국,12,4836620,494,3282420,325,드라마,15세이상관람가,독립/예술영화
100,비밀의 화원,김성환,㈜스튜디오 하이파이브,,미디어나무(주),20250723,개봉영화,장편,한국,11,3409000,379,2145500,232,드라마,12세이상관람가,독립/예술영화
31,킹 오브 프리즘 -유어 엔드리스 콜- 모두 빛나라! 프리즘 투어즈,히시다 마사카즈,,,동우에이앤이(주),20250718,개봉영화,장편,일본,46,86673950,9103,53500810,5655,애니메이션,전체관람가,일반영화
33,귀멸의 칼날: 환락의 거리 결전편,소토자키 하루오,,주식회사 애니맥스브로드캐스팅코리아,주식회사 애니맥스브로드캐스팅코리아,20250718,개봉영화,장편,일본,116,86090100,8424,21425400,2033,애니메이션,15세이상관람가,일반영화
46,스파이에어 저스트 라이크 디스 2024,,,에스엠지홀딩스 주식회사,씨지브이 아이스콘,20250718,개봉영화,장편,일본,23,76508000,3616,40580000,1955,공연,전체관람가,일반영화
50,귀멸의 칼날: 환락의 거리 잠입편,소토자키 하루오,,주식회사 애니맥스브로드캐스팅코리아,주식회사 애니맥스브로드캐스팅코리아,20250718,개봉영화,장편,일본,106,30743500,3038,6614400,648,애니메이션,15세이상관람가,일반영화
60,2024 태민 월드 투어 [이페머럴 게이즈],,,,씨제이 씨지브이(CJ CGV)(주),20250718,개봉영화,장편,한국,8,35174000,1760,27287000,1365,공연,전체관람가,일반영화
22,이상한 집,이시카와 준이치,,(주)바이포엠스튜디오,(주)바이포엠스튜디오,20250717,개봉영화,장편,일본,140,240122000,26344,65719100,7575,스릴러,15세이상관람가,일반영화
64,구마수녀 - 들러붙었구나,노홍진,주식회사 표범영화사,,"(주)제이앤씨미디어그룹,와이드 릴리즈(주)",20250717,개봉영화,장편,한국,38,14038700,1517,6684500,710,공포(호러),15세이상관람가,독립/예술영화
4,킹 오브 킹스,장성호,(주)모팩스튜디오,,(주)디스테이션,20250716,개봉영화,장편,한국,"1,191",8212454676,875071,2066019740,211939,애니메이션,전체관람가,일반영화
8,명탐정 코난: 척안의 잔상,시게하라 카츠야,,(주)씨제이이엔엠,(주)씨제이이엔엠,20250716,개봉영화,장편,일본,901,5926936580,606565,1532126820,148482,애니메이션,12세이상관람가,일반영화
14,극장판 도라에몽: 진구의 그림이야기,테라모토 유키요,,대원미디어(주),롯데컬처웍스(주)롯데시네마,20250716,개봉영화,장편,일본,204,774574600,88879,176741400,20452,애니메이션,전체관람가,일반영화
23,메간 2.0,제라드 존스톤,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),20250716,개봉영화,장편,미국,427,206373650,22158,53022250,5264,공포(호러),15세이상관람가,일반영화
27,커미션,신재민,(주)팬엔터테인먼트,,"(주)팬엔터테인먼트,(주)미디어캐슬",20250716,개봉영화,장편,한국,127,97474060,14343,38096660,5023,미스터리,15세이상관람가,일반영화
29,미세리코르디아,알랭 기로디,,엠엔엠인터내셔널(주),엠엔엠인터내셔널(주),20250716,개봉영화,장편,프랑스,42,120902750,12333,86212450,8442,드라마,청소년관람불가,독립/예술영화
63,씨그널: 바다의 마지막 신호,"박정례,이지윤","(주)보더레스랩,주식회사 망그로브",,"(주)보더레스랩,(주)스튜디오디에이치엘",20250716,개봉영화,장편,한국,22,13636860,1540,6735260,769,다큐멘터리,전체관람가,독립/예술영화
75,일과 날,"박민수,안건형",비우무비,,스튜디오 에이드,20250716,개봉영화,장편,한국,22,8771900,980,7601600,817,다큐멘터리,전체관람가,독립/예술영화
79,꿈꾸는 사진관,정초신,신희재 프로덕션,,시네마 뉴원,20250716,개봉영화,장편,한국,11,4586500,899,3298000,721,드라마,전체관람가,독립/예술영화
32,우리들의 교복시절,촹칭션,,에무 시네마 앤 카페,"(주)스튜디오 산타클로스엔터테인먼트,에무 시네마 앤 카페",20250711,개봉영화,장편,대만,124,81107840,8462,49044440,4967,드라마,전체관람가,독립/예술영화
24,영화 코바야시네 메이드래곤 외로움쟁이 용,이시하라 타츠야,,(주)애니플러스,(주)애니플러스,20250710,개봉영화,장편,일본,156,201362500,21237,86103100,9050,애니메이션,12세이상관람가,일반영화
40,세븐틴 월드 투어 '비 더 선',,(주)하이브,,씨제이 씨지브이(CJ CGV)(주),20250710,개봉영화,장편,한국,37,123979500,6199,47820000,2391,공연,전체관람가,일반영화
47,엔하이픈 월드 투어 '페이트',,(주)하이브,,씨제이 씨지브이(CJ CGV)(주),20250710,개봉영화,장편,한국,37,62400000,3120,27540000,1377,공연,전체관람가,일반영화
48,방탄소년단 '맵 오브 더 소울 : 원',,(주)하이브,,씨제이 씨지브이(CJ CGV)(주),20250710,개봉영화,장편,한국,53,62179000,3109,26960000,1348,공연,전체관람가,일반영화
52,투모로우바이투게더 월드 투어 '액트 : 스위트 미라지',,(주)하이브,,씨제이 씨지브이(CJ CGV)(주),20250710,개봉영화,장편,한국,37,59600000,2980,22880000,1144,공연,전체관람가,일반영화
6,슈퍼맨,제임스 건,,워너브러더스 코리아(주),워너브러더스 코리아(주),20250709,개봉영화,장편,미국,"1,286",8636311460,855086,2691275690,248116,액션,12세이상관람가,일반영화
13,괴기열차,탁세웅,(주)메이킹에이프린트,,(주)넥스트엔터테인먼트월드(NEW),20250709,개봉영화,장편,한국,578,970377050,104706,193867350,20071,공포(호러),15세이상관람가,일반영화
35,발코니의 여자들,노에미 멜랑,,그린나래미디어(주),"그린나래미디어(주),(주)플레이그램",20250709,개봉영화,장편,프랑스,45,71788700,7548,49398500,4881,코미디,청소년관람불가,독립/예술영화
36,봄밤,강미자,월원영화사,,(주)시네마달,20250709,개봉영화,장편,한국,63,59443400,7001,35236900,3876,드라마,15세이상관람가,독립/예술영화
38,여름이 지나가면,장병기,㈜스튜디오 하이파이브,,(주)엣나인필름,20250709,개봉영화,장편,한국,58,59404600,6388,42658000,4380,드라마,15세이상관람가,독립/예술영화
62,뮤지컬 라파치니의 정원,,,,(주)한국영상연합,20250709,개봉영화,장편,한국,14,31815500,1603,20498000,1030,공연,12세이상관람가,일반영화
1,쥬라기 월드: 새로운 시작,가렛 에드워즈,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),20250702,개봉영화,장편,미국,"1,645",20932607270,2197682,5107721140,510705,어드벤처,12세이상관람가,일반영화
59,된장이,조한별,한국영화아카데미,,(주)영화특별시에스엠씨,20250702,개봉영화,장편,한국,31,15738200,1977,10489100,1220,코미디,12세이상관람가,독립/예술영화
66,사스콰치 선셋,"데이비드 젤너,나단 젤너",,(주)스튜디오디에이치엘,(주)스튜디오디에이치엘,20250702,개봉영화,장편,미국,40,11185300,1251,5667600,592,코미디,15세이상관람가,독립/예술영화
43,위장수사,,,(주)호라이즌웍스,"(주)스마일이엔티,주식회사 블루필름웍스",20250627,개봉영화,장편,몽고,61,38621200,4554,10383900,1162,범죄,15세이상관람가,일반영화
95,씨지브이 에이아이 영화제 수상작,,씨제이 씨지브이(CJ CGV)(주),,씨제이 씨지브이(CJ CGV)(주),20250627,개봉영화,장편,한국,25,2366000,470,1585000,317,드라마,12세이상관람가,일반영화
2,F1 더 무비,조셉 코신스키,,워너브러더스 코리아(주),워너브러더스 코리아(주),20250625,개봉영화,장편,미국,"1,665",23128370890,2177563,8031763760,717678,드라마,12세이상관람가,일반영화
3,노이즈,김수진,(주)화인컷,,(주)바이포엠스튜디오,20250625,개봉영화,장편,한국,878,14214450760,1445235,2855227050,278507,공포(호러),15세이상관람가,일반영화
20,무명 無名,유진주,재단법인 온누리선교재단(CGNTV),,커넥트픽쳐스(주),20250625,개봉영화,장편,한국,184,294156400,30242,108154100,10976,다큐멘터리,12세이상관람가,독립/예술영화
37,바다호랑이,정윤철,"(주)영화사침,(주)굿프로덕션",,영화로운 형제,20250625,개봉영화,장편,한국,165,57259600,6805,32093600,3777,드라마,15세이상관람가,독립/예술영화
51,후레루.,오카다 마리,,(주)미디어캐슬,(주)미디어캐슬,20250625,개봉영화,장편,일본,157,25948100,3003,9588800,1183,애니메이션,12세이상관람가,독립/예술영화
56,모네의 수련. 물과 빛의 마법,,,일미디어,일미디어,20250625,개봉영화,장편,이탈리아,16,15192600,2124,5573100,659,다큐멘터리,전체관람가,독립/예술영화
58,네이키드 런치,데이비드 크로넨버그,,(주)엣나인필름,(주)엣나인필름,20250625,개봉영화,장편,캐나다,28,19937500,1987,15372600,1481,드라마,청소년관람불가,독립/예술영화
68,세하별,김우석,(주)도토리,,(주)트리플픽쳐스,20250625,개봉영화,장편,한국,53,9848000,1235,2496000,301,가족,15세이상관람가,독립/예술영화
39,퀴어,루카 구아다니노,,(주)누리픽쳐스,(주)누리픽쳐스,20250620,개봉영화,장편,이탈리아,235,64370900,6370,44828400,4225,드라마,청소년관람불가,독립/예술영화
88,악의 도시,현우성,,,(주)영화특별시에스엠씨,20250620,개봉영화,장편,한국,119,4139500,627,220000,22,스릴러,15세이상관람가,일반영화
18,28년 후,대니 보일,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,20250619,개봉영화,장편,미국,939,306753440,33580,116467120,12705,공포(호러),청소년관람불가,일반영화
70,승리의 시작,권순도,퓨어웨이픽쳐스,,퓨어웨이픽쳐스,20250619,개봉영화,장편,한국,35,9616800,1222,3077300,368,다큐멘터리,12세이상관람가,독립/예술영화
76,"극장판 뱅드림! 잇츠 마이고!!!!! 후편: 노래하자, 우리가 될 수 있는 노래 & 필름 라이브",카키모토 코다이,,(주)애니플러스,(주)애니플러스,20250619,개봉영화,장편,일본,76,9514200,944,7259600,689,애니메이션,전체관람가,일반영화
11,엘리오,"도미 시,매들린 샤라피안,아드리안 몰리나",,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,20250618,개봉영화,장편,미국,"1,110",1437946660,162373,382371090,40051,애니메이션,전체관람가,일반영화
83,차은우 브이알 콘서트 : 메모리즈 (CHA EUN-WOO VR CONCERT : MEMORIES ),김지애,(주)어메이즈브이알코리아,,(주)어메이즈브이알코리아,20250618,개봉영화,장편,한국,2,25969500,787,25969500,787,공연,전체관람가,일반영화
87,탐정 키엔: 사라진 머리,빅터 부,,롯데컬처웍스(주)롯데시네마,(주)디스테이션,20250618,개봉영화,장편,베트남,94,5977600,664,2354600,281,공포(호러),15세이상관람가,일반영화
82,인피니트 15주년 콘서트 리미티드 에디션 더 무비,손석,,,씨지브이 아이스콘,20250611,개봉영화,장편,한국,42,20075000,803,17825000,713,공연,전체관람가,일반영화
85,귤레귤레,고봉수,주식회사 필름초이스,,㈜인디스토리,20250611,개봉영화,장편,한국,32,5460300,725,3361300,396,드라마,15세이상관람가,독립/예술영화
10,드래곤 길들이기,딘 데블로이스,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),20250606,개봉영화,장편,미국,"1,650",2314840540,240304,751136110,73747,액션,전체관람가,일반영화
84,브링 허 백,"대니 필리푸,마이클 필리푸",,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,20250606,개봉영화,장편,미국,246,7042000,743,3274900,346,공포(호러),청소년관람불가,일반영화
71,아마데우스 오리지널 리마스터링,밀러스 포먼,,주식회사 컨텐츠썬,와이드 릴리즈(주),20250604,개봉영화,장편,미국,122,8743300,1193,2724300,310,드라마,12세이상관람가,일반영화
93,미치광이 피에로,장 뤽 고다르,,엠엔엠인터내셔널(주),엠엔엠인터내셔널(주),20250604,개봉영화,장편,프랑스,35,3850000,473,2203000,197,드라마,15세이상관람가,독립/예술영화
92,신성한 나무의 씨앗,모함마드 라술로프,,그린나래미디어(주),"그린나래미디어(주),(주)레드아이스 엔터테인먼트",20250603,개봉영화,장편,독일,46,3726000,479,1591000,171,드라마,15세이상관람가,독립/예술영화
17,신명,,(주)열공영화제작소,,"(주)열공영화제작소,(주)스마일이엔티,주식회사 블루필름웍스",20250602,개봉영화,장편,한국,771,314785120,35947,81356100,9270,드라마,15세이상관람가,일반영화
8,하이파이브,강형철,(주)안나푸르나필름,,(주)넥스트엔터테인먼트월드(NEW),20250530,개봉영화,장편,한국,1343,2233918430,236993,546294660,56922,코미디,15세이상관람가,일반영화
9,소주전쟁,,더램프(주),,(주)쇼박스,20250530,개봉영화,장편,한국,1040,978657390,99750,316357460,31088,드라마,15세이상관람가,일반영화
46,기타맨,"김종면,이선정",,,주식회사 씨엠닉스,20250530,개봉영화,장편,한국,73,29862800,3661,17779800,2162,드라마,15세이상관람가,독립/예술영화
16,하이파이브,강형철,(주)안나푸르나필름,,(주)넥스트엔터테인먼트월드(NEW),20250530,개봉영화,장편,한국,"1,343",380366310,43521,73366900,8173,코미디,15세이상관람가,일반영화
90,소주전쟁,,더램프(주),,(주)쇼박스,20250530,개봉영화,장편,한국,"1,040",3548000,517,0,0,드라마,15세이상관람가,일반영화
25,극장판 프로젝트 세카이 부서진 세카이와 전해지지 않는 미쿠의 노래,,,(주)애니플러스,(주)애니플러스,20250529,개봉영화,장편,일본,167,192611050,20408,59564680,5775,애니메이션,전체관람가,일반영화
72,기억의 조각,이광복,,,목영이엔엠,20250529,개봉영화,장편,한국,14,6533700,748,5320200,591,드라마,12세이상관람가,독립/예술영화
78,해피해피,이수성,㈜리필름,,시네마 뉴원,20250529,개봉영화,장편,한국,14,5447100,545,3599000,330,드라마,12세이상관람가,일반영화
30,극장판 프로젝트 세카이 부서진 세카이와 전해지지 않는 미쿠의 노래,,,(주)애니플러스,(주)애니플러스,20250529,개봉영화,장편,일본,167,99484100,10787,50631700,5206,애니메이션,전체관람가,일반영화
20,씨너스: 죄인들,라이언 쿠글러,,워너브러더스 코리아(주),워너브러더스 코리아(주),20250528,개봉영화,장편,미국,610,331566860,29645,171210060,13560,액션,청소년관람불가,일반영화
28,페니키안 스킴,웨스 앤더슨,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),20250528,개봉영화,장편,미국,339,144855050,16028,81210950,8885,드라마,15세이상관람가,일반영화
31,미야자키 하야오: 자연의 영혼,레오 파비에,,"(주)스튜디오디에이치엘,(주)키노라이츠","(주)스튜디오디에이치엘,(주)키노라이츠",20250528,개봉영화,장편,프랑스,220,74633100,8977,32987700,3957,다큐멘터리,전체관람가,독립/예술영화
51,바운디 라이브 인 런던,,,리벳,메가박스중앙(주),20250528,개봉영화,장편,일본,39,65597020,2629,27978960,1121,공연,전체관람가,일반영화
68,내가 누워있을 때,최정문,(주)시네마달,,(주)시네마달,20250528,개봉영화,장편,한국,25,9174600,964,8111700,837,드라마,12세이상관람가,독립/예술영화
69,브릭레이어,레니 할린,,(주)올스타엔터테인먼트,"(주)올스타엔터테인먼트,(주)플레이그램",20250528,개봉영화,장편,헝가리,31,7637300,841,5586500,608,액션,15세이상관람가,일반영화
53,씨너스: 죄인들,라이언 쿠글러,,워너브러더스 코리아(주),워너브러더스 코리아(주),20250528,개봉영화,장편,미국,610,23899300,2456,20886100,2041,액션,청소년관람불가,일반영화
73,페니키안 스킴,웨스 앤더슨,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),20250528,개봉영화,장편,미국,339,10454900,1113,8901900,894,드라마,15세이상관람가,독립/예술영화
23,나를 모르는 그녀의 세계에서,미키 타카히로,,주식회사 풍경소리,"와이드 릴리즈(주),(주)키다리스튜디오",20250522,개봉영화,장편,일본,218,218374200,24664,70189000,8196,멜로/로맨스,12세이상관람가,일반영화
7,릴로 & 스티치,딘 플라이셔 캠프,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,20250521,개봉영화,장편,미국,1034,2627821210,277961,777299790,78299,애니메이션,전체관람가,일반영화
17,"부정선거, 신의 작품인가",,,,루디아코프,20250521,개봉영화,장편,한국,140,306536120,34074,101296950,11779,다큐멘터리,12세이상관람가,일반영화
27,주차금지,손현우,㈜영화사 주단,,"㈜영화사 주단,(주)플레이그램",20250521,개봉영화,장편,한국,135,134294570,18015,34924300,4862,스릴러,15세이상관람가,일반영화
33,그리드맨 유니버스,아메미야 아키라,,(주)미디어캐슬,(주)미디어캐슬,20250521,개봉영화,장편,일본,112,67677720,7995,29947010,3462,애니메이션,12세이상관람가,독립/예술영화
55,전장의 유산,김채영,컬츠인큐티에프,,컬츠인큐티에프,20250521,개봉영화,장편,한국,16,22286900,2016,13114100,1169,다큐멘터리,12세이상관람가,일반영화
73,로데오,롤라 키보론,,필름다빈,필름다빈,20250521,개봉영화,장편,프랑스,17,6739400,744,5285400,574,드라마,15세이상관람가,독립/예술영화
76,프리 폴,올레흐 우라자이킨,,,(주)스튜디오디에이치엘,20250521,개봉영화,장편,러시아,44,3871500,555,859500,104,SF,전체관람가,일반영화
77,분리수거,이소민,(주)모그픽쳐스,,(주)이놀미디어,20250521,개봉영화,장편,한국,19,5034800,548,3766200,406,드라마,15세이상관람가,독립/예술영화
55,릴로 & 스티치,딘 플라이셔 캠프,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,20250521,개봉영화,장편,미국,"1,034",23783000,2436,14264500,1363,애니메이션,전체관람가,일반영화
1,미션 임파서블: 파이널 레코닝,크리스토퍼 맥쿼리,,롯데컬처웍스(주)롯데엔터테인먼트,롯데컬처웍스(주)롯데엔터테인먼트,20250517,개봉영화,장편,미국,2385,23065412310,2334727,6581956410,626571,액션,15세이상관람가,일반영화
19,미션 임파서블: 파이널 레코닝,크리스토퍼 맥쿼리,,롯데컬처웍스(주)롯데엔터테인먼트,롯데컬처웍스(주)롯데엔터테인먼트,20250517,개봉영화,장편,미국,"2,385",300355430,31469,140108000,14200,액션,15세이상관람가,일반영화
92,극장판 블리치 : 다이아몬드 더스트 리벨리온,아베 노리유키,,에스엠지홀딩스 주식회사,에스엠지홀딩스 주식회사,20250516,개봉영화,장편,일본,1,2280000,292,1968000,251,애니메이션,12세이상관람가,일반영화
12,파이널 데스티네이션 블러드라인,"아담 B. 스테인,잭 리포브스키",,워너브러더스 코리아(주),워너브러더스 코리아(주),20250514,개봉영화,장편,미국,515,774842650,77262,260299620,25498,공포(호러),청소년관람불가,일반영화
21,"다시 만날, 조국","정윤철,정상진",,,"(주)엣나인필름,㈜스튜디오 체인",20250514,개봉영화,장편,한국,229,253069120,27687,105551720,11452,다큐멘터리,12세이상관람가,독립/예술영화
26,극장판 닌자보이 란타로: 도쿠타케 닌자대 최강의 군사,후지모리 마사야,,(주)시그널픽쳐스,(주)디스테이션,20250514,개봉영화,장편,일본,136,180897120,18716,74567000,7145,애니메이션,전체관람가,일반영화
35,세븐 베일즈,아톰 에고이안,,판씨네마(주),판씨네마(주),20250514,개봉영화,장편,캐나다,136,50074900,7258,24931700,3753,드라마,15세이상관람가,독립/예술영화
36,고양이 수비대: 모나리자를 지켜라!,바실리 로벤스키,,그린나래미디어(주),"그린나래미디어(주),(주)스튜디오 산타클로스엔터테인먼트",20250514,개봉영화,장편,러시아,151,57243800,7208,12408600,1608,애니메이션,전체관람가,독립/예술영화
39,케이 넘버,조세영,선보필름,,(주)마노엔터테인먼트,20250514,개봉영화,장편,한국,44,43791300,5186,25347500,2898,다큐멘터리,12세이상관람가,독립/예술영화
41,그 자연이 네게 뭐라고 하니,홍상수,(주)영화제작전원사,,"(주)영화제작전원사 ,(주)콘텐츠판다",20250514,개봉영화,장편,한국,52,43438500,4662,32991800,3472,드라마,15세이상관람가,독립/예술영화
42,보이 인 더 풀,류연수,한국영화아카데미,,(주)트리플픽쳐스,20250514,개봉영화,장편,한국,52,43751100,4484,26946700,2263,드라마,12세이상관람가,독립/예술영화
47,위드 러브,조나단 유세비오,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),20250514,개봉영화,장편,미국,47,23398160,3255,9767700,1362,액션,청소년관람불가,일반영화
52,페퍼톤스 인 시네마 : 에브리씽 이즈 오케이,조윤수,(주)영화사 그램,,"롯데컬처웍스(주)롯시플,(주)영화사 그램",20250509,개봉영화,장편,한국,49,62925000,2597,46570000,1922,공연,전체관람가,독립/예술영화
56,우리는 공산당이 싫어요,,㈜영화사 아리랑,,주식회사 킨스튜디오,20250509,개봉영화,장편,한국,8,14183000,1821,10162500,1259,다큐멘터리,15세이상관람가,일반영화
42,우리는 공산당이 싫어요,,㈜영화사 아리랑,,주식회사 킨스튜디오,20250509,개봉영화,장편,한국,8,52419400,5672,7266000,837,다큐멘터리,15세이상관람가,일반영화
94,데드 어게인,손현우,(주)로드하우스,,(주)로드하우스,20250508,개봉영화,장편,한국,20,1710000,285,100000,20,스릴러,청소년관람불가,일반영화
13,바이러스,강이관,더램프(주),,(주)바이포엠스튜디오,20250507,개봉영화,장편,한국,663,609980360,68412,191725300,20195,드라마,12세이상관람가,일반영화
15,괴수 8호: 미션 리컨,미야 시게유키,,(주)애니플러스,메가박스중앙(주),20250507,개봉영화,장편,일본,465,377604180,39545,116534060,11647,애니메이션,15세이상관람가,일반영화
24,기동전사 건담 역습의 샤아,토미노 요시유키,,(주)에스피오 엔터테인먼트코리아,(주)미디어캐슬,20250507,개봉영화,장편,일본,138,210965600,21945,96639000,10001,애니메이션,12세이상관람가,일반영화
30,에이티즈 월드 투어 [투워즈 더 라이트 : 윌 투 파워] 인 시네마 ,오윤동,"씨제이포디플렉스 주식회사,스크린엑스 스튜디오",,씨제이포디플렉스 주식회사,20250507,개봉영화,장편,한국,64,265397500,10616,166200000,6648,공연,전체관람가,일반영화
40,나미비아의 사막,야마나카 요코,,(주)비하인드 더 씬 컴퍼니,(주)스튜디오디에이치엘,20250507,개봉영화,장편,일본,55,47211800,4985,34425800,3356,드라마,15세이상관람가,독립/예술영화
49,기동전사 건담 F91,토미노 요시유키,,(주)에스피오 엔터테인먼트코리아,(주)미디어캐슬,20250507,개봉영화,장편,일본,41,30194900,2886,15502400,1477,애니메이션,12세이상관람가,일반영화
59,"폴킴, 친애하는 당신께",,(주)아시아홈 엔터테인먼트,,씨지브이 아이스콘,20250507,개봉영화,장편,한국,27,28578500,1429,21999500,1100,다큐멘터리,전체관람가,일반영화
86,호랑이 소녀,,,주식회사 오디언스,주식회사 오디언스,20250507,개봉영화,장편,말레이시아,20,3854800,400,2737100,265,공포(호러),12세이상관람가,독립/예술영화
85,극장판 블리치 : 메모리즈 오브 노바디,아베 노리유키,,에스엠지홀딩스 주식회사,에스엠지홀딩스 주식회사,20250502,개봉영화,장편,일본,1,3267500,412,3267500,412,애니메이션,12세이상관람가,일반영화
14,시크릿쥬쥬 마법의 하모니,조경호,,,(주)씨제이이엔엠,20250501,개봉영화,장편,한국,575,553113460,61600,81189900,8461,애니메이션,전체관람가,일반영화
